clf	task	method	accuracy	recall1	recall0	recall_macro	precision1	precision0	precision_macro	f1score1	f1score0	f1score_macro	mcc	spd	aod	eod	erd	
lr	Compas-Sex	fairsmote	0.65	0.72	0.58	0.65	0.67	0.63	0.65	0.69	0.6	0.65	0.3	0.09	0.06	0.04	0.02	
lr	Compas-Sex	FairMask	0.67	0.79	0.51	0.65	0.66	0.67	0.67	0.72	0.58	0.65	0.32	0.15	0.12	0.09	0.04	
lr	Compas-Sex	maat	0.67	0.81	0.5	0.65	0.66	0.68	0.67	0.73	0.58	0.65	0.33	0.17	0.14	0.1	0.03	
lr	Compas-Sex	fitness_f	0.67	0.75	0.56	0.66	0.67	0.65	0.66	0.71	0.6	0.66	0.32	0.07	0.05	0.04	0.02	
lr	Compas-Race	default	0.67	0.76	0.56	0.66	0.68	0.66	0.67	0.71	0.61	0.66	0.33	0.18	0.16	0.11	0.01	
lr	Compas-Race	rw	0.67	0.76	0.55	0.66	0.67	0.66	0.66	0.71	0.6	0.66	0.32	0.02	0.04	0.04	0.02	
lr	Compas-Race	dir	0.67	0.77	0.54	0.66	0.67	0.67	0.67	0.72	0.6	0.66	0.33	0.09	0.07	0.04	0.02	
lr	Compas-Race	lfr	0.56	0.85	0.22	0.53	0.57	0.55	0.56	0.68	0.3	0.49	0.09	0.04	0.05	0.04	0.06	
lr	Compas-Race	ceo1	0.65	0.82	0.44	0.63	0.64	0.68	0.66	0.72	0.54	0.63	0.29	0.44	0.45	0.28	0.06	
lr	Compas-Race	eo	0.64	0.81	0.43	0.62	0.63	0.65	0.64	0.71	0.52	0.61	0.26	0.03	0.02	0.02	0.04	
lr	Compas-Race	ad	0.66	0.72	0.58	0.65	0.68	0.64	0.66	0.7	0.61	0.65	0.31	0.13	0.11	0.09	0.02	
lr	Compas-Race	pr	0.68	0.75	0.6	0.67	0.69	0.67	0.68	0.72	0.63	0.67	0.35	0.14	0.11	0.1	0.02	
lr	Compas-Race	mfc1	0.48	0.1	0.94	0.52	0.64	0.47	0.55	0.17	0.62	0.4	0.06	0.03	0.03	0.02	0.07	
lr	Compas-Race	roc1	0.66	0.68	0.64	0.66	0.7	0.63	0.66	0.69	0.63	0.66	0.32	0.03	0.04	0.04	0.03	
lr	Compas-Race	fairway	0.67	0.77	0.55	0.66	0.67	0.66	0.67	0.72	0.6	0.66	0.32	0.15	0.12	0.08	0.02	
lr	Compas-Race	fairsmote	0.66	0.67	0.65	0.66	0.7	0.62	0.66	0.68	0.63	0.66	0.32	0.26	0.23	0.2	0.02	
lr	Compas-Race	FairMask	0.67	0.76	0.57	0.66	0.68	0.66	0.67	0.72	0.61	0.66	0.33	0.17	0.14	0.1	0.02	
lr	Compas-Race	maat	0.67	0.78	0.54	0.66	0.67	0.67	0.67	0.72	0.6	0.66	0.33	0.09	0.07	0.03	0.02	
lr	Compas-Race	fitness_f	0.67	0.74	0.57	0.66	0.68	0.65	0.66	0.71	0.61	0.66	0.32	0.02	0.05	0.06	0.02	
lr	German-Sex	default	0.75	0.87	0.46	0.67	0.79	0.62	0.7	0.83	0.53	0.68	0.37	0.11	0.1	0.07	0.05	
lr	German-Sex	rw	0.74	0.87	0.45	0.66	0.79	0.61	0.7	0.83	0.52	0.67	0.36	0.05	0.06	0.04	0.05	
lr	German-Sex	dir	0.75	0.88	0.44	0.66	0.78	0.62	0.7	0.83	0.51	0.67	0.36	0.08	0.06	0.05	0.06	
lr	German-Sex	lfr	0.7	1.0	0.0	0.5	0.7	0.04	0.37	0.82	0.0	0.41	0.0	0.0	0.0	0.0	0.08	
lr	German-Sex	ceo1	0.73	0.92	0.31	0.61	0.75	0.62	0.69	0.83	0.41	0.62	0.29	0.22	0.25	0.13	0.04	
lr	German-Sex	eo	0.74	0.87	0.44	0.66	0.78	0.6	0.69	0.82	0.5	0.66	0.34	0.06	0.07	0.05	0.06	
lr	German-Sex	ad	0.75	0.87	0.46	0.66	0.79	0.61	0.7	0.83	0.52	0.67	0.36	0.21	0.23	0.15	0.05	
lr	German-Sex	pr	0.73	0.88	0.35	0.62	0.77	0.55	0.66	0.82	0.43	0.62	0.27	0.06	0.06	0.09	0.08	
lr	German-Sex	mfc1	0.76	0.92	0.38	0.65	0.79	0.65	0.72	0.85	0.48	0.66	0.36	0.11	0.13	0.07	0.0	
lr	German-Sex	roc1	0.71	0.71	0.7	0.71	0.85	0.52	0.68	0.77	0.59	0.68	0.39	0.05	0.07	0.06	0.05	
lr	German-Sex	fairway	0.74	0.86	0.48	0.67	0.79	0.6	0.7	0.82	0.53	0.68	0.36	0.06	0.06	0.04	0.05	
lr	German-Sex	fairsmote	0.75	0.86	0.49	0.67	0.79	0.6	0.7	0.82	0.53	0.68	0.37	0.15	0.14	0.1	0.04	
lr	German-Sex	FairMask	0.75	0.87	0.47	0.67	0.79	0.61	0.7	0.83	0.53	0.68	0.37	0.07	0.06	0.04	0.05	
lr	German-Sex	maat	0.75	0.88	0.46	0.67	0.79	0.62	0.7	0.83	0.52	0.68	0.37	0.08	0.07	0.05	0.05	
lr	German-Sex	fitness_f	0.75	0.87	0.46	0.66	0.79	0.61	0.7	0.83	0.52	0.67	0.36	0.04	0.07	0.04	0.06	
lr	German-Age	default	0.75	0.87	0.46	0.67	0.79	0.62	0.7	0.83	0.53	0.68	0.37	0.21	0.17	0.16	0.1	
lr	German-Age	rw	0.75	0.88	0.45	0.66	0.79	0.61	0.7	0.83	0.52	0.67	0.36	0.06	0.07	0.05	0.1	
lr	German-Age	dir	0.74	0.9	0.39	0.64	0.77	0.64	0.71	0.83	0.47	0.65	0.34	0.1	0.08	0.06	0.1	
lr	German-Age	lfr	0.7	1.0	0.0	0.5	0.7	0.09	0.39	0.82	0.0	0.41	0.01	0.0	0.0	0.0	0.15	
lr	German-Age	ceo1	0.71	0.96	0.15	0.56	0.72	0.62	0.67	0.82	0.24	0.53	0.19	0.4	0.43	0.26	0.07	
lr	German-Age	eo	0.69	0.77	0.51	0.64	0.78	0.49	0.64	0.77	0.5	0.63	0.27	0.08	0.09	0.06	0.07	
lr	German-Age	ad	0.65	0.73	0.47	0.6	0.73	0.52	0.63	0.7	0.45	0.58	0.22	0.53	0.53	0.47	0.16	
lr	German-Age	pr	0.77	0.9	0.43	0.67	0.8	0.64	0.72	0.85	0.51	0.68	0.38	0.04	0.02	0.02	0.05	
lr	German-Age	mfc1	0.72	1.0	0.02	0.51	0.72	1.0	0.86	0.84	0.05	0.44	0.13	0.01	0.01	0.0	0.09	
lr	German-Age	roc1	0.7	0.7	0.7	0.7	0.85	0.51	0.68	0.77	0.59	0.68	0.38	0.07	0.1	0.07	0.07	
lr	German-Age	fairway	0.74	0.86	0.45	0.66	0.78	0.59	0.69	0.82	0.51	0.66	0.34	0.15	0.13	0.12	0.11	
lr	German-Age	fairsmote	0.74	0.88	0.41	0.65	0.78	0.6	0.69	0.82	0.49	0.65	0.33	0.22	0.19	0.18	0.11	
lr	German-Age	FairMask	0.75	0.86	0.5	0.68	0.8	0.61	0.7	0.83	0.55	0.69	0.38	0.15	0.12	0.11	0.1	
lr	German-Age	maat	0.75	0.87	0.47	0.67	0.79	0.61	0.7	0.83	0.53	0.68	0.37	0.12	0.09	0.09	0.1	
lr	German-Age	fitness_f	0.75	0.87	0.47	0.67	0.79	0.61	0.7	0.83	0.53	0.68	0.37	0.06	0.08	0.05	0.09	
lr	Bank-Age	default	0.9	0.4	0.97	0.68	0.67	0.92	0.79	0.5	0.94	0.72	0.46	0.09	0.08	0.13	0.06	
lr	Bank-Age	rw	0.9	0.39	0.97	0.68	0.67	0.92	0.79	0.5	0.94	0.72	0.46	0.02	0.04	0.06	0.07	
lr	Bank-Age	dir	0.89	0.37	0.97	0.67	0.65	0.91	0.78	0.47	0.94	0.7	0.44	0.14	0.16	0.26	0.06	
lr	Bank-Age	lfr	0.87	0.01	1.0	0.5	0.27	0.87	0.57	0.01	0.93	0.47	0.03	0.0	0.0	0.0	0.1	
lr	Bank-Age	ceo1	0.9	0.39	0.97	0.68	0.67	0.92	0.79	0.49	0.94	0.72	0.46	0.04	0.04	0.06	0.08	
lr	Bank-Age	eo	0.88	0.41	0.95	0.68	0.53	0.92	0.72	0.46	0.93	0.7	0.4	0.04	0.03	0.06	0.05	
lr	Bank-Age	ad	0.9	0.48	0.96	0.72	0.64	0.93	0.78	0.55	0.94	0.74	0.5	0.11	0.1	0.13	0.08	
lr	Bank-Age	pr	0.9	0.36	0.97	0.67	0.67	0.91	0.79	0.47	0.94	0.71	0.44	0.07	0.19	0.36	0.11	
lr	Bank-Age	mfc1	0.85	0.86	0.85	0.86	0.45	0.98	0.72	0.59	0.91	0.75	0.55	0.28	0.17	0.08	0.18	
