clf	task	method	accuracy	recall1	recall0	recall_macro	precision1	precision0	precision_macro	f1score1	f1score0	f1score_macro	mcc	spd	aod	eod	erd	
rf	German-Sex	fairway	0.74	0.86	0.48	0.67	0.79	0.6	0.7	0.82	0.53	0.68	0.36	0.06	0.06	0.04	0.05	
rf	German-Sex	fairsmote	0.75	0.87	0.5	0.68	0.8	0.62	0.71	0.83	0.55	0.69	0.39	0.05	0.06	0.04	0.04	
rf	German-Sex	FairMask	0.75	0.91	0.39	0.65	0.77	0.66	0.72	0.84	0.49	0.66	0.36	0.06	0.06	0.04	0.05	
rf	German-Sex	maat	0.76	0.92	0.37	0.65	0.77	0.68	0.73	0.84	0.48	0.66	0.37	0.06	0.06	0.04	0.05	
rf	German-Sex	fitness_f	0.76	0.92	0.38	0.65	0.77	0.68	0.73	0.84	0.48	0.66	0.37	0.05	0.06	0.03	0.05	
rf	German-Age	default	0.76	0.91	0.4	0.66	0.78	0.67	0.73	0.84	0.5	0.67	0.38	0.13	0.11	0.07	0.09	
rf	German-Age	rw	0.76	0.91	0.4	0.66	0.78	0.67	0.72	0.84	0.5	0.67	0.37	0.1	0.08	0.06	0.09	
rf	German-Age	dir	0.76	0.92	0.37	0.65	0.77	0.69	0.73	0.84	0.48	0.66	0.37	0.07	0.07	0.04	0.09	
rf	German-Age	lfr	0.66	0.86	0.2	0.53	0.71	0.39	0.55	0.78	0.26	0.52	0.08	0.05	0.07	0.05	0.11	
rf	German-Age	ceo1	0.75	0.93	0.32	0.63	0.76	0.68	0.72	0.84	0.44	0.64	0.34	0.15	0.14	0.08	0.08	
rf	German-Age	eo	0.76	0.91	0.4	0.66	0.78	0.67	0.73	0.84	0.5	0.67	0.38	0.13	0.11	0.07	0.09	
rf	German-Age	ad	
rf	German-Age	pr	0.77	0.9	0.43	0.67	0.8	0.64	0.72	0.85	0.51	0.68	0.38	0.04	0.02	0.02	0.05	
rf	German-Age	mfc1	
rf	German-Age	roc1	0.7	0.86	0.33	0.59	0.75	0.62	0.69	0.8	0.36	0.58	0.25	0.22	0.28	0.16	0.13	
rf	German-Age	fairway	0.74	0.86	0.45	0.66	0.78	0.59	0.69	0.82	0.51	0.66	0.34	0.15	0.13	0.12	0.11	
rf	German-Age	fairsmote	0.75	0.86	0.48	0.67	0.79	0.61	0.7	0.83	0.53	0.68	0.37	0.08	0.08	0.06	0.09	
rf	German-Age	FairMask	0.75	0.91	0.39	0.65	0.77	0.66	0.72	0.84	0.49	0.66	0.36	0.08	0.07	0.05	0.09	
rf	German-Age	maat	0.76	0.92	0.39	0.65	0.78	0.67	0.72	0.84	0.49	0.67	0.37	0.07	0.07	0.04	0.09	
rf	German-Age	fitness_f	0.76	0.92	0.38	0.65	0.77	0.68	0.73	0.84	0.48	0.66	0.37	0.06	0.06	0.04	0.09	
rf	Bank-Age	default	0.9	0.48	0.96	0.72	0.65	0.93	0.79	0.55	0.95	0.75	0.51	0.08	0.05	0.06	0.07	
rf	Bank-Age	rw	0.9	0.48	0.96	0.72	0.65	0.93	0.79	0.55	0.94	0.75	0.5	0.07	0.04	0.05	0.06	
rf	Bank-Age	dir	0.9	0.51	0.95	0.73	0.61	0.93	0.77	0.55	0.94	0.75	0.5	0.12	0.07	0.07	0.09	
rf	Bank-Age	lfr	0.87	0.12	0.98	0.55	0.43	0.89	0.66	0.19	0.93	0.56	0.18	0.01	0.03	0.04	0.1	
rf	Bank-Age	ceo1	0.9	0.49	0.96	0.73	0.65	0.93	0.79	0.56	0.94	0.75	0.51	0.08	0.05	0.06	0.07	
rf	Bank-Age	eo	0.9	0.48	0.96	0.72	0.65	0.93	0.79	0.55	0.95	0.75	0.51	0.08	0.05	0.06	0.07	
rf	Bank-Age	ad	
rf	Bank-Age	pr	0.9	0.36	0.97	0.67	0.67	0.91	0.79	0.47	0.94	0.71	0.44	0.07	0.19	0.36	0.11	
rf	Bank-Age	mfc1	
rf	Bank-Age	roc1	0.88	0.06	1.0	0.53	0.86	0.88	0.87	0.12	0.94	0.53	0.21	0.01	0.01	0.03	0.1	
rf	Bank-Age	fairway	0.9	0.49	0.96	0.72	0.65	0.93	0.79	0.55	0.94	0.75	0.51	0.09	0.06	0.09	0.06	
rf	Bank-Age	fairsmote	0.9	0.65	0.93	0.79	0.58	0.95	0.76	0.61	0.94	0.78	0.55	0.07	0.06	0.09	0.08	
rf	Bank-Age	FairMask	0.9	0.48	0.96	0.72	0.65	0.93	0.79	0.55	0.94	0.75	0.5	0.09	0.05	0.07	0.07	
rf	Bank-Age	maat	0.9	0.51	0.96	0.73	0.65	0.93	0.79	0.57	0.95	0.76	0.52	0.06	0.04	0.05	0.06	
rf	Bank-Age	fitness_f	0.9	0.49	0.96	0.73	0.65	0.93	0.79	0.56	0.95	0.75	0.51	0.07	0.04	0.06	0.07	
rf	Mep-Race	default	0.86	0.39	0.95	0.67	0.64	0.88	0.76	0.48	0.92	0.7	0.42	0.09	0.07	0.09	0.09	
rf	Mep-Race	rw	0.86	0.39	0.95	0.67	0.64	0.88	0.76	0.48	0.92	0.7	0.42	0.09	0.05	0.07	0.09	
rf	Mep-Race	dir	0.86	0.39	0.95	0.67	0.63	0.88	0.76	0.48	0.92	0.7	0.42	0.08	0.05	0.06	0.09	
rf	Mep-Race	lfr	0.82	0.18	0.95	0.57	0.45	0.85	0.65	0.26	0.9	0.58	0.2	0.03	0.02	0.02	0.11	
rf	Mep-Race	ceo1	0.86	0.39	0.95	0.67	0.63	0.88	0.76	0.48	0.92	0.7	0.42	0.09	0.05	0.06	0.09	
rf	Mep-Race	eo	0.86	0.39	0.96	0.67	0.64	0.88	0.76	0.48	0.92	0.7	0.42	0.09	0.06	0.08	0.09	
rf	Mep-Race	ad	
rf	Mep-Race	pr	0.84	0.17	0.99	0.58	0.75	0.85	0.8	0.27	0.91	0.59	0.31	0.03	0.01	0.01	0.11	
rf	Mep-Race	mfc1	
rf	Mep-Race	roc1	0.75	0.66	0.77	0.72	0.38	0.92	0.65	0.48	0.84	0.66	0.35	0.13	0.22	0.28	0.06	
rf	Mep-Race	fairway	0.86	0.38	0.96	0.67	0.68	0.88	0.78	0.49	0.92	0.71	0.44	0.11	0.1	0.16	0.08	
rf	Mep-Race	fairsmote	0.86	0.44	0.94	0.69	0.61	0.89	0.75	0.51	0.92	0.71	0.44	0.09	0.05	0.06	0.09	
rf	Mep-Race	FairMask	0.86	0.39	0.95	0.67	0.63	0.88	0.76	0.48	0.92	0.7	0.42	0.08	0.05	0.06	0.09	
rf	Mep-Race	maat	0.86	0.36	0.96	0.66	0.66	0.88	0.77	0.46	0.92	0.69	0.41	0.07	0.03	0.04	0.09	
rf	Mep-Race	fitness_f	0.86	0.39	0.95	0.67	0.63	0.88	0.76	0.48	0.92	0.7	0.42	0.07	0.03	0.03	0.09	
svm	Adult-Sex	default	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.57	0.18	0.08	0.09	0.12	
svm	Adult-Sex	rw	0.84	0.54	0.94	0.74	0.74	0.86	0.8	0.62	0.9	0.76	0.54	0.07	0.1	0.19	0.11	
svm	Adult-Sex	dir	0.85	0.6	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.57	0.18	0.09	0.1	0.12	
svm	Adult-Sex	lfr	0.75	0.05	0.99	0.52	0.44	0.76	0.6	0.09	0.86	0.47	0.08	0.01	0.03	0.06	0.19	
svm	Adult-Sex	ceo1	0.82	0.45	0.95	0.7	0.74	0.84	0.79	0.56	0.89	0.73	0.48	0.11	0.07	0.08	0.15	
svm	Adult-Sex	eo	0.82	0.55	0.91	0.73	0.67	0.86	0.76	0.6	0.88	0.74	0.49	0.09	0.01	0.02	0.07	
svm	Adult-Sex	ad	
svm	Adult-Sex	pr	0.76	0.05	1.0	0.52	0.98	0.76	0.87	0.09	0.86	0.48	0.18	0.01	0.02	0.04	0.19	
svm	Adult-Sex	mfc1	
svm	Adult-Sex	roc1	0.78	0.79	0.78	0.79	0.55	0.92	0.73	0.65	0.85	0.75	0.52	0.05	0.11	0.16	0.03	
svm	Adult-Sex	fairway	0.85	0.6	0.93	0.76	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.18	0.09	0.1	0.12	
svm	Adult-Sex	fairsmote	0.82	0.77	0.84	0.81	0.62	0.92	0.77	0.69	0.88	0.78	0.57	0.23	0.08	0.03	0.11	
svm	Adult-Sex	FairMask	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.57	0.17	0.08	0.08	0.12	
svm	Adult-Sex	maat	0.84	0.49	0.96	0.72	0.79	0.85	0.82	0.6	0.9	0.75	0.53	0.09	0.05	0.09	0.12	
svm	Adult-Sex	fitness_f	0.84	0.54	0.94	0.74	0.75	0.86	0.81	0.63	0.9	0.76	0.54	0.12	0.04	0.04	0.12	
svm	Adult-Race	default	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.57	0.1	0.05	0.07	0.05	
svm	Adult-Race	rw	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.65	0.9	0.78	0.56	0.04	0.04	0.07	0.05	
svm	Adult-Race	dir	0.85	0.6	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.57	0.07	0.02	0.03	0.05	
svm	Adult-Race	lfr	0.76	0.12	0.97	0.54	0.48	0.77	0.63	0.18	0.86	0.52	0.15	0.02	0.04	0.07	0.09	
svm	Adult-Race	ceo1	0.83	0.52	0.94	0.73	0.74	0.86	0.8	0.61	0.9	0.75	0.52	0.06	0.03	0.03	0.07	
svm	Adult-Race	eo	0.84	0.56	0.93	0.74	0.72	0.86	0.79	0.63	0.9	0.76	0.54	0.05	0.02	0.03	0.04	
svm	Adult-Race	ad	
svm	Adult-Race	pr	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.56	0.11	0.07	0.1	0.05	
svm	Adult-Race	mfc1	
svm	Adult-Race	roc1	0.8	0.85	0.78	0.81	0.56	0.94	0.75	0.67	0.85	0.76	0.56	0.04	0.04	0.06	0.01	
svm	Adult-Race	fairway	0.85	0.6	0.93	0.76	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.1	0.05	0.07	0.05	
svm	Adult-Race	fairsmote	0.82	0.8	0.82	0.81	0.6	0.93	0.76	0.68	0.87	0.78	0.57	0.12	0.04	0.02	0.06	
svm	Adult-Race	FairMask	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.57	0.09	0.04	0.05	0.05	
svm	Adult-Race	maat	0.84	0.52	0.95	0.73	0.78	0.86	0.82	0.62	0.9	0.76	0.55	0.05	0.02	0.04	0.06	
svm	Adult-Race	fitness_f	0.85	0.6	0.93	0.76	0.74	0.88	0.81	0.66	0.9	0.78	0.57	0.07	0.02	0.02	0.05	
svm	Compas-Sex	default	0.66	0.75	0.56	0.66	0.67	0.65	0.66	0.71	0.6	0.66	0.32	0.26	0.24	0.18	0.03	
svm	Compas-Sex	rw	0.66	0.75	0.55	0.65	0.67	0.65	0.66	0.71	0.59	0.65	0.31	0.06	0.05	0.03	0.02	
svm	Compas-Sex	dir	0.66	0.77	0.53	0.65	0.66	0.66	0.66	0.71	0.59	0.65	0.31	0.05	0.04	0.03	0.03	
svm	Compas-Sex	lfr	0.57	0.77	0.32	0.54	0.58	0.53	0.56	0.66	0.39	0.53	0.1	0.08	0.08	0.07	0.06	
svm	Compas-Sex	ceo1	0.66	0.79	0.49	0.64	0.65	0.66	0.66	0.72	0.57	0.64	0.3	0.42	0.42	0.27	0.02	
svm	Compas-Sex	eo	0.62	0.82	0.38	0.6	0.61	0.64	0.63	0.7	0.47	0.59	0.23	0.04	0.03	0.02	0.05	
svm	Compas-Sex	ad	
svm	Compas-Sex	pr	0.64	0.81	0.45	0.63	0.63	0.66	0.65	0.71	0.54	0.62	0.28	0.05	0.12	0.08	0.09	
svm	Compas-Sex	mfc1	
svm	Compas-Sex	roc1	0.65	0.65	0.66	0.65	0.7	0.61	0.65	0.67	0.63	0.65	0.3	0.04	0.05	0.05	0.03	
svm	Compas-Sex	fairway	0.66	0.79	0.5	0.65	0.66	0.67	0.66	0.72	0.57	0.64	0.31	0.2	0.17	0.13	0.04	
svm	Compas-Sex	fairsmote	0.65	0.72	0.56	0.64	0.67	0.63	0.65	0.69	0.59	0.64	0.29	0.09	0.06	0.04	0.02	
svm	Compas-Sex	FairMask	0.66	0.78	0.51	0.65	0.66	0.66	0.66	0.72	0.58	0.65	0.31	0.15	0.12	0.09	0.04	
svm	Compas-Sex	maat	0.66	0.82	0.47	0.65	0.65	0.69	0.67	0.73	0.56	0.64	0.32	0.16	0.14	0.09	0.04	
svm	Compas-Sex	fitness_f	0.66	0.77	0.53	0.65	0.66	0.66	0.66	0.71	0.59	0.65	0.31	0.07	0.06	0.03	0.02	
svm	Compas-Race	default	0.66	0.75	0.56	0.66	0.67	0.65	0.66	0.71	0.6	0.66	0.32	0.17	0.15	0.1	0.01	
svm	Compas-Race	rw	0.66	0.75	0.55	0.65	0.67	0.65	0.66	0.71	0.6	0.65	0.31	0.02	0.04	0.04	0.02	
svm	Compas-Race	dir	0.67	0.77	0.54	0.66	0.67	0.67	0.67	0.72	0.59	0.66	0.32	0.09	0.07	0.04	0.02	
svm	Compas-Race	lfr	0.57	0.78	0.31	0.54	0.58	0.53	0.56	0.66	0.39	0.52	0.1	0.06	0.07	0.06	0.04	
svm	Compas-Race	ceo1	0.65	0.83	0.42	0.63	0.64	0.68	0.66	0.72	0.52	0.62	0.29	0.41	0.42	0.26	0.06	
svm	Compas-Race	eo	0.63	0.81	0.42	0.62	0.63	0.65	0.64	0.71	0.51	0.61	0.25	0.03	0.03	0.02	0.04	
svm	Compas-Race	ad	
svm	Compas-Race	pr	0.68	0.75	0.6	0.67	0.69	0.67	0.68	0.72	0.63	0.67	0.35	0.14	0.11	0.1	0.02	
svm	Compas-Race	mfc1	
svm	Compas-Race	roc1	0.66	0.67	0.64	0.66	0.69	0.62	0.66	0.68	0.63	0.66	0.31	0.03	0.04	0.04	0.03	
svm	Compas-Race	fairway	0.67	0.77	0.55	0.66	0.67	0.66	0.67	0.72	0.6	0.66	0.32	0.15	0.12	0.08	0.02	
svm	Compas-Race	fairsmote	0.66	0.68	0.63	0.65	0.69	0.62	0.65	0.68	0.62	0.65	0.31	0.24	0.22	0.18	0.01	
svm	Compas-Race	FairMask	0.66	0.75	0.56	0.66	0.67	0.65	0.66	0.71	0.6	0.66	0.32	0.16	0.14	0.09	0.01	
svm	Compas-Race	maat	0.66	0.79	0.5	0.65	0.66	0.67	0.66	0.72	0.58	0.65	0.31	0.09	0.07	0.03	0.02	
svm	Compas-Race	fitness_f	0.66	0.76	0.54	0.65	0.67	0.65	0.66	0.71	0.59	0.65	0.31	0.02	0.05	0.06	0.02	
svm	German-Sex	default	0.75	0.87	0.47	0.67	0.79	0.61	0.7	0.83	0.53	0.68	0.37	0.11	0.1	0.07	0.04	
svm	German-Sex	rw	0.74	0.87	0.46	0.66	0.79	0.6	0.7	0.82	0.52	0.67	0.36	0.06	0.06	0.04	0.05	
svm	German-Sex	dir	0.75	0.88	0.45	0.66	0.79	0.61	0.7	0.83	0.52	0.67	0.36	0.08	0.07	0.05	0.05	
svm	German-Sex	lfr	0.7	0.99	0.02	0.51	0.7	0.3	0.5	0.82	0.04	0.43	0.03	0.01	0.01	0.01	0.08	
svm	German-Sex	ceo1	0.73	0.95	0.23	0.59	0.74	0.65	0.69	0.83	0.33	0.58	0.26	0.18	0.2	0.1	0.05	
svm	German-Sex	eo	0.74	0.91	0.34	0.63	0.76	0.62	0.69	0.83	0.44	0.63	0.31	0.04	0.06	0.04	0.06	
svm	German-Sex	ad	
svm	German-Sex	pr	0.73	0.88	0.35	0.62	0.77	0.55	0.66	0.82	0.43	0.62	0.27	0.06	0.06	0.09	0.08	
svm	German-Sex	mfc1	
svm	German-Sex	roc1	0.71	0.7	0.72	0.71	0.85	0.52	0.68	0.77	0.6	0.68	0.39	0.07	0.07	0.07	0.05	
svm	German-Sex	fairway	0.74	0.86	0.48	0.67	0.79	0.6	0.7	0.82	0.53	0.68	0.36	0.06	0.06	0.04	0.05	
svm	German-Sex	fairsmote	0.74	0.86	0.49	0.67	0.79	0.6	0.7	0.82	0.53	0.68	0.37	0.15	0.14	0.09	0.04	
svm	German-Sex	FairMask	0.75	0.86	0.48	0.67	0.79	0.6	0.7	0.83	0.53	0.68	0.37	0.06	0.06	0.04	0.05	
svm	German-Sex	maat	0.74	0.92	0.35	0.63	0.76	0.65	0.71	0.83	0.45	0.64	0.33	0.06	0.06	0.04	0.06	
svm	German-Sex	fitness_f	0.74	0.91	0.36	0.64	0.77	0.64	0.7	0.83	0.46	0.65	0.33	0.04	0.06	0.03	0.06	
svm	German-Age	default	0.75	0.87	0.47	0.67	0.79	0.61	0.7	0.83	0.53	0.68	0.37	0.2	0.17	0.16	0.1	
svm	German-Age	rw	0.75	0.87	0.46	0.66	0.79	0.61	0.7	0.83	0.52	0.67	0.36	0.06	0.07	0.05	0.09	
svm	German-Age	dir	0.75	0.89	0.44	0.66	0.78	0.63	0.71	0.83	0.51	0.67	0.36	0.12	0.09	0.08	0.09	
svm	German-Age	lfr	0.7	0.99	0.02	0.51	0.7	0.34	0.52	0.82	0.03	0.43	0.04	0.01	0.01	0.01	0.15	
svm	German-Age	ceo1	0.71	0.97	0.13	0.55	0.72	0.66	0.69	0.83	0.21	0.52	0.19	0.31	0.34	0.19	0.07	
svm	German-Age	eo	0.71	0.84	0.4	0.62	0.76	0.53	0.64	0.8	0.45	0.62	0.26	0.08	0.08	0.05	0.08	
svm	German-Age	ad	
svm	German-Age	pr	0.77	0.9	0.43	0.67	0.8	0.64	0.72	0.85	0.51	0.68	0.38	0.04	0.02	0.02	0.05	
svm	German-Age	mfc1	
svm	German-Age	roc1	0.7	0.7	0.7	0.7	0.85	0.51	0.68	0.77	0.59	0.68	0.38	0.06	0.09	0.06	0.06	
svm	German-Age	fairway	0.74	0.86	0.45	0.66	0.78	0.59	0.69	0.82	0.51	0.66	0.34	0.15	0.13	0.12	0.11	
svm	German-Age	fairsmote	0.74	0.88	0.42	0.65	0.78	0.6	0.69	0.82	0.49	0.66	0.33	0.22	0.18	0.17	0.11	
svm	German-Age	FairMask	0.75	0.86	0.5	0.68	0.8	0.6	0.7	0.82	0.54	0.68	0.37	0.14	0.11	0.11	0.1	
svm	German-Age	maat	0.75	0.92	0.36	0.64	0.77	0.66	0.71	0.83	0.46	0.65	0.34	0.1	0.09	0.07	0.09	
svm	German-Age	fitness_f	0.75	0.91	0.37	0.64	0.77	0.65	0.71	0.83	0.47	0.65	0.34	0.05	0.07	0.04	0.1	
svm	Bank-Age	default	0.9	0.38	0.97	0.67	0.67	0.92	0.79	0.48	0.94	0.71	0.45	0.07	0.05	0.08	0.06	
svm	Bank-Age	rw	0.9	0.37	0.97	0.67	0.68	0.92	0.8	0.48	0.94	0.71	0.45	0.02	0.03	0.06	0.07	
svm	Bank-Age	dir	0.89	0.41	0.96	0.69	0.63	0.92	0.78	0.49	0.94	0.72	0.45	0.15	0.17	0.25	0.06	
svm	Bank-Age	lfr	0.87	0.0	1.0	0.5	0.07	0.87	0.47	0.0	0.93	0.47	0.0	0.0	0.0	0.0	0.1	
svm	Bank-Age	ceo1	0.9	0.41	0.97	0.69	0.66	0.92	0.79	0.5	0.94	0.72	0.47	0.04	0.04	0.07	0.08	
svm	Bank-Age	eo	0.88	0.43	0.94	0.69	0.53	0.92	0.72	0.47	0.93	0.7	0.41	0.04	0.03	0.05	0.05	
svm	Bank-Age	ad	
svm	Bank-Age	pr	0.9	0.36	0.97	0.67	0.67	0.91	0.79	0.47	0.94	0.71	0.44	0.07	0.19	0.36	0.11	
svm	Bank-Age	mfc1	
svm	Bank-Age	roc1	0.89	0.2	0.99	0.6	0.74	0.9	0.82	0.31	0.94	0.63	0.34	0.05	0.05	0.09	0.06	
svm	Bank-Age	fairway	0.9	0.49	0.96	0.72	0.65	0.93	0.79	0.55	0.94	0.75	0.51	0.09	0.06	0.09	0.06	
svm	Bank-Age	fairsmote	0.89	0.22	0.98	0.6	0.65	0.9	0.77	0.32	0.94	0.63	0.33	0.21	0.28	0.44	0.08	
svm	Bank-Age	FairMask	0.9	0.38	0.97	0.68	0.67	0.92	0.79	0.49	0.94	0.72	0.46	0.06	0.04	0.06	0.06	
svm	Bank-Age	maat	0.9	0.42	0.97	0.7	0.66	0.92	0.79	0.52	0.94	0.73	0.48	0.05	0.03	0.04	0.07	
svm	Bank-Age	fitness_f	0.9	0.41	0.97	0.69	0.66	0.92	0.79	0.51	0.94	0.73	0.47	0.04	0.03	0.04	0.07	
svm	Mep-Race	default	0.86	0.37	0.96	0.67	0.68	0.88	0.78	0.48	0.92	0.7	0.44	0.1	0.08	0.12	0.08	
svm	Mep-Race	rw	0.86	0.34	0.97	0.66	0.68	0.88	0.78	0.46	0.92	0.69	0.42	0.04	0.02	0.03	0.09	
svm	Mep-Race	dir	0.86	0.37	0.96	0.67	0.68	0.88	0.78	0.48	0.92	0.7	0.43	0.08	0.04	0.06	0.09	
svm	Mep-Race	lfr	0.83	0.03	1.0	0.51	0.47	0.83	0.65	0.05	0.91	0.48	0.07	0.0	0.01	0.01	0.13	
svm	Mep-Race	ceo1	0.85	0.27	0.97	0.62	0.67	0.87	0.77	0.39	0.92	0.65	0.36	0.02	0.05	0.08	0.11	
svm	Mep-Race	eo	0.85	0.32	0.96	0.64	0.6	0.87	0.74	0.42	0.91	0.67	0.36	0.04	0.02	0.03	0.08	
svm	Mep-Race	ad	
svm	Mep-Race	pr	0.84	0.17	0.99	0.58	0.75	0.85	0.8	0.27	0.91	0.59	0.31	0.03	0.01	0.01	0.11	
svm	Mep-Race	mfc1	
svm	Mep-Race	roc1	0.79	0.72	0.8	0.76	0.43	0.93	0.68	0.54	0.86	0.7	0.43	0.04	0.04	0.06	0.01	
svm	Mep-Race	fairway	0.86	0.38	0.96	0.67	0.68	0.88	0.78	0.49	0.92	0.71	0.44	0.11	0.1	0.16	0.08	
svm	Mep-Race	fairsmote	0.86	0.34	0.97	0.65	0.68	0.88	0.78	0.45	0.92	0.68	0.41	0.14	0.16	0.26	0.08	
svm	Mep-Race	FairMask	0.86	0.38	0.96	0.67	0.68	0.88	0.78	0.48	0.92	0.7	0.44	0.08	0.05	0.07	0.08	
svm	Mep-Race	maat	0.86	0.34	0.97	0.66	0.69	0.88	0.79	0.46	0.92	0.69	0.42	0.07	0.03	0.05	0.09	
svm	Mep-Race	fitness_f	0.86	0.36	0.96	0.66	0.68	0.88	0.78	0.47	0.92	0.7	0.43	0.05	0.02	0.02	0.09	
dl2	Adult-Sex	default	0.85	0.61	0.92	0.77	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.18	0.08	0.08	0.11	
dl2	Adult-Sex	rw	0.84	0.56	0.93	0.75	0.73	0.87	0.8	0.63	0.9	0.77	0.54	0.08	0.09	0.16	0.1	
dl2	Adult-Sex	dir	0.84	0.59	0.93	0.76	0.73	0.87	0.8	0.65	0.9	0.77	0.56	0.17	0.08	0.09	0.11	
dl2	Adult-Sex	lfr	0.75	0.04	0.99	0.52	0.17	0.76	0.46	0.06	0.86	0.46	0.05	0.01	0.01	0.02	0.19	
dl2	Adult-Sex	ceo1	0.84	0.56	0.93	0.74	0.73	0.87	0.8	0.63	0.9	0.76	0.54	0.15	0.05	0.03	0.12	
dl2	Adult-Sex	eo	0.83	0.6	0.9	0.75	0.67	0.87	0.77	0.63	0.89	0.76	0.52	0.11	0.02	0.03	0.06	
dl2	Adult-Sex	ad	
dl2	Adult-Sex	pr	0.76	0.05	1.0	0.52	0.98	0.76	0.87	0.09	0.86	0.48	0.18	0.01	0.02	0.04	0.19	
dl2	Adult-Sex	mfc1	
dl2	Adult-Sex	roc1	0.78	0.79	0.78	0.79	0.54	0.92	0.73	0.65	0.84	0.74	0.52	0.05	0.1	0.14	0.03	
dl2	Adult-Sex	fairway	0.85	0.6	0.93	0.76	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.18	0.09	0.1	0.12	
dl2	Adult-Sex	fairsmote	0.82	0.67	0.87	0.77	0.64	0.89	0.76	0.65	0.88	0.76	0.53	0.15	0.08	0.09	0.1	
dl2	Adult-Sex	FairMask	0.85	0.62	0.92	0.77	0.72	0.88	0.8	0.67	0.9	0.78	0.57	0.19	0.09	0.09	0.11	
dl2	Adult-Sex	maat	0.84	0.5	0.95	0.73	0.78	0.85	0.82	0.61	0.9	0.75	0.54	0.1	0.05	0.08	0.12	
dl2	Adult-Sex	fitness_f	0.84	0.54	0.94	0.74	0.74	0.86	0.8	0.62	0.9	0.76	0.54	0.12	0.04	0.04	0.12	
dl2	Adult-Race	default	0.85	0.61	0.92	0.77	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.09	0.04	0.05	0.05	
dl2	Adult-Race	rw	0.85	0.59	0.93	0.76	0.73	0.87	0.8	0.65	0.9	0.78	0.56	0.04	0.04	0.07	0.04	
dl2	Adult-Race	dir	0.85	0.62	0.92	0.77	0.73	0.88	0.8	0.67	0.9	0.78	0.57	0.07	0.02	0.03	0.05	
dl2	Adult-Race	lfr	0.76	0.11	0.97	0.54	0.26	0.77	0.52	0.13	0.86	0.49	0.11	0.01	0.02	0.04	0.09	
dl2	Adult-Race	ceo1	0.85	0.61	0.93	0.77	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.1	0.07	0.1	0.04	
dl2	Adult-Race	eo	0.84	0.61	0.92	0.76	0.71	0.88	0.8	0.66	0.9	0.78	0.56	0.06	0.04	0.07	0.01	
dl2	Adult-Race	ad	
dl2	Adult-Race	pr	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.56	0.11	0.07	0.1	0.05	
dl2	Adult-Race	mfc1	
dl2	Adult-Race	roc1	0.81	0.83	0.8	0.81	0.58	0.93	0.76	0.68	0.86	0.77	0.57	0.04	0.04	0.06	0.01	
dl2	Adult-Race	fairway	0.85	0.6	0.93	0.76	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.1	0.05	0.07	0.05	
dl2	Adult-Race	fairsmote	0.82	0.65	0.87	0.76	0.63	0.88	0.76	0.64	0.88	0.76	0.52	0.04	0.06	0.11	0.05	
dl2	Adult-Race	FairMask	0.85	0.62	0.92	0.77	0.72	0.88	0.8	0.67	0.9	0.78	0.57	0.1	0.05	0.06	0.05	
dl2	Adult-Race	maat	0.85	0.55	0.94	0.75	0.76	0.87	0.81	0.64	0.9	0.77	0.56	0.06	0.02	0.03	0.05	
dl2	Adult-Race	fitness_f	0.85	0.63	0.92	0.77	0.72	0.88	0.8	0.67	0.9	0.78	0.57	0.06	0.03	0.04	0.05	
dl2	Compas-Sex	default	0.65	0.7	0.6	0.65	0.68	0.62	0.65	0.69	0.61	0.65	0.3	0.19	0.16	0.13	0.03	
dl2	Compas-Sex	rw	0.65	0.71	0.58	0.64	0.67	0.62	0.65	0.69	0.6	0.64	0.29	0.07	0.06	0.04	0.02	
dl2	Compas-Sex	dir	0.66	0.74	0.56	0.65	0.67	0.65	0.66	0.7	0.6	0.65	0.31	0.06	0.04	0.03	0.03	
dl2	Compas-Sex	lfr	0.55	1.0	0.0	0.5	0.55	0.0	0.27	0.71	0.0	0.35	0.0	0.0	0.0	0.0	0.13	
dl2	Compas-Sex	ceo1	0.65	0.74	0.55	0.64	0.66	0.63	0.65	0.7	0.59	0.64	0.29	0.38	0.38	0.26	0.02	
dl2	Compas-Sex	eo	0.64	0.7	0.57	0.63	0.66	0.61	0.64	0.68	0.59	0.63	0.27	0.07	0.06	0.03	0.03	
dl2	Compas-Sex	ad	
